"age","Australia_Male","Austria_Male","Belgium_Male","Bulgaria_Male","Canada_Male","Czech Republic_Male","Denmark_Male","Estonia_Male","Finland_Male","France_Male","Germany_Male","Hungary_Male","Ireland_Male","Italy_Male","Japan_Male","Latvia_Male","Lithuania_Male","Luxembourg_Male","Netherlands_Male","Poland_Male","Portugal_Male","Russia_Male","Slovakia_Male","Slovenia_Male","Spain_Male","Sweden_Male","United Kingdom_Male","United States_Male","Australia_Female","Austria_Female","Belgium_Female","Bulgaria_Female","Canada_Female","Czech Republic_Female","Denmark_Female","Estonia_Female","Finland_Female","France_Female","Germany_Female","Hungary_Female","Ireland_Female","Italy_Female","Japan_Female","Latvia_Female","Lithuania_Female","Luxembourg_Female","Netherlands_Female","Poland_Female","Portugal_Female","Russia_Female","Slovakia_Female","Slovenia_Female","Spain_Female","Sweden_Female","United Kingdom_Female","United States_Female"
55,93642,92920,92473,85313,93437,90870,92856,83736,91128,91605,93091,84678,92669,94619,94048,80584,78716,93433,94747,86131,90820,70852,87331,91597,93587,94699,93032,89664,96249,96246,95576,93098,95798,95664,95592,94490,95959,95806,96168,93019,95885,96891,96783,92146,92624,96140,95941,94562,95842,89165,94663,96346,96728,96677,95690,93809
56,93224,92276,91859,84154,92956,89984,92117,82413,90425,90899,92442,83186,92158,94190,93574,79183,77140,93082,94271,84993,90180,69154,86188,90789,93026,94307,92499,88951,96006,95969,95211,92549,95491,95302,95056,94063,95584,95481,95833,92373,95625,96644,96562,91550,92104,95832,95577,94090,95554,88448,94225,95958,96496,96389,95343,93376
57,92785,91657,91197,82806,92430,89062,91375,81174,89687,90131,91767,81564,91633,93698,93052,77568,75623,92393,93705,83769,89482,67449,84959,90041,92411,93838,91933,88194,95720,95629,94789,92015,95155,94870,94563,93602,95260,95156,95470,91728,95258,96370,96319,90971,91469,95480,95190,93559,95256,87698,93715,95516,96238,96087,94963,92917
58,92316,90869,90470,81464,91846,88051,90665,79455,88977,89327,91015,79995,91005,93166,92490,75895,74045,91652,93137,82441,88721,65617,83672,89158,91735,93296,91334,87377,95429,95314,94377,91435,94774,94399,94119,93093,94838,94787,95083,91011,94851,96065,96066,90370,90840,95075,94809,92986,94952,86879,93147,95115,95969,95777,94561,92429
59,91781,90071,89618,80000,91223,86916,89832,77880,88154,88500,90220,78288,90419,92587,91861,74087,72436,90819,92522,81009,87947,63773,82282,88296,91034,92716,90659,86538,95093,94905,93891,90833,94364,93893,93618,92536,94459,94400,94651,90257,94430,95767,95789,89616,90134,94548,94400,92372,94599,86016,92476,94675,95671,95375,94124,91913
60,91208,89208,88748,78360,90576,85667,88945,76136,87268,87629,89339,76537,89792,91957,91169,72102,70531,90327,91905,79553,87159,61859,80730,87223,90277,92109,89943,85651,94713,94503,93433,90159,93933,93313,93086,91851,94027,94003,94202,89470,93911,95407,95488,88790,89373,94197,93934,91713,94273,85081,91856,94282,95359,94966,93634,91357
61,90571,88260,87838,76700,89835,84392,87975,74197,86319,86709,88402,74661,88938,91258,90430,70223,68698,89646,91164,77978,86262,59580,79222,86236,89472,91488,89164,84690,94332,94011,92909,89429,93448,92736,92510,91265,93569,93613,93688,88605,93443,95036,95168,87998,88473,94053,93434,90991,93843,84032,91167,93768,95036,94513,93117,90737
62,89902,87157,86843,74969,89076,82954,86919,72612,85284,85758,87417,72756,88010,90485,89613,68320,66704,88944,90294,76349,85266,57589,77462,85045,88589,90757,88334,83709,93901,93489,92356,88654,92942,92024,91854,90609,93085,93186,93172,87666,92927,94620,94803,87130,87609,93437,92858,90203,93404,83071,90379,93274,94679,94059,92555,90086
63,89145,86007,85805,73122,88202,81464,85834,70964,84181,84772,86313,70737,87089,89647,88719,66189,64524,87995,89395,74618,84266,55215,75596,83589,87642,89922,87428,82591,93426,92878,91760,87874,92353,91318,91161,89905,92564,92713,92566,86640,92290,94171,94417,86060,86711,92679,92229,89377,92925,81885,89574,92715,94290,93491,91927,89341
64,88355,84864,84695,71156,87334,79786,84682,69023,82903,83703,85274,68808,86119,88704,87874,63888,62310,86649,88461,72790,83213,53111,73632,82384,86623,89094,86499,81512,92982,92277,91111,86909,91735,90540,90302,88922,91927,92211,91975,85661,91633,93686,94071,84906,85817,91892,91632,88507,92371,80766,88723,92063,93887,92908,91280,88599
