"age","Australia_Male","Austria_Male","Belgium_Male","Bulgaria_Male","Canada_Male","Czech Republic_Male","Denmark_Male","Estonia_Male","Finland_Male","France_Male","Germany_Male","Hungary_Male","Ireland_Male","Italy_Male","Japan_Male","Latvia_Male","Lithuania_Male","Luxembourg_Male","Netherlands_Male","Poland_Male","Portugal_Male","Russia_Male","Slovakia_Male","Slovenia_Male","Spain_Male","Sweden_Male","United Kingdom_Male","United States_Male","Australia_Female","Austria_Female","Belgium_Female","Bulgaria_Female","Canada_Female","Czech Republic_Female","Denmark_Female","Estonia_Female","Finland_Female","France_Female","Germany_Female","Hungary_Female","Ireland_Female","Italy_Female","Japan_Female","Latvia_Female","Lithuania_Female","Luxembourg_Female","Netherlands_Female","Poland_Female","Portugal_Female","Russia_Female","Slovakia_Female","Slovenia_Female","Spain_Female","Sweden_Female","United Kingdom_Female","United States_Female"
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99528,99600,99620,98938,99488,99698,99689,99582,99740,99586,99614,99468,99630,99631,99738,99249,99332,99828,99585,99395,99596,99080,99316,99778,99666,99742,99489,99284,99649,99649,99692,99187,99523,99734,99712,99703,99719,99664,99698,99506,99721,99686,99787,99292,99533,99671,99649,99493,99693,99279,99526,99747,99713,99759,99583,99415
2,99495,99572,99570,98887,99453,99674,99663,99521,99723,99554,99576,99433,99587,99607,99697,99179,99299,99793,99554,99362,99555,98988,99246,99750,99637,99701,99458,99237,99616,99607,99651,99102,99503,99701,99678,99652,99705,99638,99672,99469,99661,99664,99752,99240,99519,99671,99624,99461,99657,99205,99486,99727,99682,99735,99558,99376
3,99471,99545,99549,98854,99433,99646,99657,99521,99717,99531,99557,99417,99556,99591,99677,99140,99252,99793,99530,99336,99530,98934,99217,99731,99618,99675,99439,99206,99603,99584,99634,99049,99489,99688,99647,99625,99691,99619,99658,99452,99649,99653,99735,99192,99477,99671,99609,99443,99639,99160,99444,99717,99669,99718,99538,99351
4,99458,99528,99528,98795,99421,99637,99654,99521,99707,99513,99543,99393,99541,99581,99662,99109,99217,99793,99514,99320,99515,98886,99181,99731,99598,99653,99428,99182,99588,99576,99622,99016,99477,99681,99631,99610,99681,99607,99645,99431,99643,99645,99719,99173,99455,99635,99595,99424,99626,99130,99414,99706,99657,99700,99522,99332
5,99444,99521,99511,98769,99410,99627,99642,99507,99697,99504,99526,99382,99526,99569,99648,99071,99210,99660,99505,99308,99501,98847,99160,99710,99583,99645,99419,99164,99575,99561,99614,98988,99467,99670,99625,99610,99674,99596,99634,99423,99637,99636,99708,99153,99433,99635,99583,99408,99618,99099,99379,99695,99644,99699,99509,99317
6,99427,99507,99501,98721,99393,99619,99639,99507,99680,99491,99516,99369,99520,99561,99636,99043,99176,99627,99499,99288,99492,98805,99145,99699,99569,99638,99408,99149,99564,99556,99605,98969,99456,99664,99619,99550,99667,99587,99624,99412,99627,99629,99696,99127,99419,99635,99571,99400,99609,99071,99368,99695,99636,99691,99498,99304
7,99416,99497,99492,98678,99383,99600,99630,99507,99680,99480,99505,99355,99516,99553,99625,99018,99162,99594,99489,99273,99483,98772,99119,99688,99558,99627,99397,99136,99555,99554,99593,98953,99450,99644,99603,99518,99663,99579,99615,99402,99614,99621,99686,99102,99419,99635,99562,99384,99599,99044,99352,99649,99630,99685,99490,99291
8,99406,99490,99486,98642,99367,99596,99621,99477,99670,99470,99496,99341,99497,99540,99616,98982,99128,99594,99475,99261,99472,98735,99096,99666,99550,99615,99390,99123,99551,99543,99576,98934,99441,99635,99591,99502,99656,99572,99604,99389,99607,99612,99679,99086,99412,99635,99551,99369,99592,99020,99344,99638,99619,99670,99483,99282
9,99398,99480,99483,98630,99360,99583,99615,99477,99666,99462,99488,99327,99497,99535,99607,98936,99096,99594,99461,99242,99455,98701,99081,99656,99544,99601,99379,99111,99542,99533,99567,98921,99433,99622,99585,99502,99649,99563,99598,99381,99601,99604,99671,99070,99405,99635,99547,99355,99577,98996,99328,99626,99612,99664,99476,99272
10,99388,99469,99474,98595,99350,99573,99612,99477,99656,99455,99481,99311,99491,99526,99598,98895,99091,99594,99454,99229,99443,98666,99070,99645,99535,99590,99371,99097,99532,99519,99557,98906,99425,99617,99582,99486,99645,99555,99593,99368,99601,99594,99665,99043,99380,99602,99540,99346,99570,98975,99324,99626,99603,99659,99465,99260
11,99376,99455,99465,98577,99338,99560,99609,99477,99643,99446,99472,99307,99481,99516,99589,98858,99057,99562,99448,99212,99431,98631,99039,99624,99525,99578,99363,99085,99520,99511,99545,98890,99415,99608,99575,99486,99638,99548,99584,99359,99590,99589,99657,99026,99368,99602,99534,99334,99563,98954,99306,99626,99594,99653,99458,99250
12,99370,99448,99449,98548,99333,99540,99601,99461,99636,99435,99463,99291,99478,99504,99582,98814,99013,99562,99438,99200,99413,98599,99022,99614,99513,99572,99353,99069,99509,99509,99540,98879,99409,99597,99566,99486,99628,99541,99575,99347,99583,99582,99653,99020,99350,99602,99528,99322,99550,98927,99278,99626,99588,99644,99448,99238
13,99360,99438,99437,98511,99318,99523,99584,99461,99633,99424,99455,99276,99468,99489,99575,98761,98986,99531,99424,99183,99396,98559,99009,99604,99499,99560,99343,99054,99499,99500,99528,98850,99400,99585,99564,99486,99621,99535,99567,99331,99576,99575,99645,99003,99328,99602,99522,99310,99543,98907,99257,99626,99579,99642,99438,99226
14,99345,99427,99418,98461,99308,99511,99576,99415,99617,99414,99446,99247,99451,99478,99563,98727,98950,99499,99413,99168,99389,98515,98990,99594,99483,99549,99330,99035,99491,99487,99522,98837,99392,99579,99555,99470,99605,99525,99558,99314,99569,99567,99637,98977,99300,99602,99514,99289,99528,98877,99240,99616,99572,99638,99427,99213
15,99331,99398,99407,98425,99288,99475,99565,99385,99602,99394,99427,99223,99426,99458,99551,98704,98916,99499,99400,99136,99373,98462,98963,99594,99470,99522,99315,99011,99479,99463,99512,98810,99375,99565,99546,99470,99586,99511,99545,99297,99551,99558,99629,98953,99285,99602,99498,99267,99517,98840,99227,99616,99564,99620,99414,99198
16,99301,99369,99390,98373,99260,99446,99551,99357,99558,99365,99406,99184,99388,99431,99537,98646,98856,99467,99385,99096,99352,98391,98940,99584,99448,99504,99290,98977,99464,99440,99492,98783,99356,99545,99535,99455,99574,99497,99530,99285,99532,99549,99619,98923,99261,99602,99486,99245,99506,98794,99213,99575,99547,99603,99399,99178
17,99263,99322,99367,98296,99226,99409,99513,99357,99523,99336,99381,99151,99346,99392,99509,98580,98748,99467,99362,99053,99313,98306,98906,99565,99424,99489,99261,98926,99449,99428,99465,98762,99333,99523,99523,99428,99562,99478,99512,99247,99518,99533,99606,98892,99217,99602,99471,99224,99495,98744,99190,99555,99534,99579,99379,99152
18,99214,99271,99329,98234,99175,99374,99474,99334,99453,99292,99344,99110,99286,99354,99477,98518,98587,99467,99334,98987,99266,98181,98862,99538,99392,99449,99212,98858,99423,99408,99456,98736,99308,99505,99500,99428,99541,99456,99496,99229,99489,99518,99589,98872,99192,99602,99456,99197,99469,98686,99174,99545,99515,99555,99360,99120
19,99158,99189,99277,98164,99114,99312,99417,99261,99361,99232,99293,99054,99179,99308,99436,98431,98429,99368,99298,98887,99214,98018,98810,99451,99336,99423,99155,98763,99397,99384,99421,98689,99278,99496,99464,99417,99514,99440,99473,99208,99453,99500,99572,98859,99163,99602,99432,99170,99446,98615,99151,99509,99499,99537,99337,99083
20,99092,99106,99209,98079,99030,99248,99374,99158,99293,99168,99245,99003,99083,99256,99391,98336,98277,99335,99257,98786,99152,97835,98742,99377,99297,99358,99092,98658,99371,99360,99397,98649,99248,99464,99446,99388,99465,99417,99452,99181,99430,99481,99549,98828,99112,99531,99410,99143,99418,98547,99117,99500,99481,99518,99313,99045
21,99029,99017,99145,97986,98960,99194,99330,99024,99219,99103,99186,98919,98965,99196,99337,98226,98105,99267,99216,98670,99085,97626,98627,99301,99262,99306,99029,98541,99341,99334,99377,98618,99217,99427,99433,99359,99427,99392,99430,99155,99398,99459,99521,98785,99060,99531,99392,99120,99387,98474,99097,99475,99458,99494,99288,99006
22,98963,98935,99049,97892,98883,99110,99291,98926,99126,99023,99137,98838,98838,99145,99278,98079,97915,99166,99172,98562,99004,97391,98531,99194,99216,99233,98963,98410,99320,99314,99348,98585,99190,99391,99408,99341,99408,99365,99409,99127,99366,99438,99495,98747,99004,99531,99367,99096,99351,98397,99070,99451,99437,99475,99261,98962
23,98905,98884,98966,97786,98810,99023,99212,98818,99034,98952,99083,98756,98766,99078,99212,97939,97725,99099,99129,98449,98910,97124,98472,99088,99172,99180,98905,98285,99301,99280,99308,98545,99161,99360,99386,99322,99373,99342,99384,99098,99330,99418,99466,98708,98966,99531,99347,99070,99327,98323,99056,99420,99419,99452,99240,98918
24,98837,98791,98897,97659,98731,98932,99148,98669,98905,98870,99036,98687,98641,99025,99153,97808,97506,99099,99086,98337,98853,96849,98388,99025,99125,99105,98841,98153,99276,99257,99283,98516,99132,99327,99345,99205,99323,99317,99360,99077,99293,99395,99435,98666,98919,99531,99331,99045,99296,98242,99035,99397,99397,99430,99214,98870
25,98765,98729,98819,97543,98658,98855,99091,98464,98819,98787,98980,98612,98550,98972,99091,97659,97287,99068,99041,98237,98782,96541,98282,98936,99075,99024,98775,98022,99244,99232,99258,98471,99103,99303,99338,99110,99299,99291,99338,99059,99273,99374,99408,98617,98879,99531,99318,99015,99272,98154,99017,99397,99380,99408,99191,98819
26,98689,98663,98751,97440,98585,98800,99004,98272,98705,98704,98921,98540,98426,98911,99035,97475,97038,99037,98988,98130,98707,96186,98208,98863,99019,98965,98704,97893,99214,99214,99232,98418,99066,99283,99309,99035,99272,99264,99316,99040,99242,99356,99376,98567,98825,99499,99291,98995,99241,98048,98992,99382,99356,99381,99161,98770
27,98607,98582,98666,97331,98508,98727,98930,97991,98613,98618,98863,98470,98318,98853,98975,97253,96821,98948,98929,98019,98637,95790,98106,98785,98960,98896,98625,97758,99177,99193,99204,98358,99033,99256,99273,98967,99229,99232,99289,99024,99212,99336,99342,98510,98783,99469,99270,98965,99209,97933,98965,99368,99336,99370,99133,98714
28,98526,98532,98595,97199,98431,98630,98850,97732,98532,98539,98798,98406,98212,98798,98915,97019,96589,98892,98890,97909,98561,95352,97997,98705,98908,98826,98553,97628,99135,99170,99180,98330,98997,99231,99240,98937,99196,99200,99264,98988,99177,99313,99311,98452,98743,99412,99237,98940,99180,97804,98923,99347,99315,99339,99102,98659
29,98445,98460,98501,97089,98365,98545,98781,97410,98426,98442,98736,98309,98130,98743,98849,96744,96368,98865,98848,97799,98464,94861,97889,98602,98850,98774,98470,97493,99111,99135,99135,98263,98965,99199,99212,98917,99156,99170,99238,98959,99138,99294,99279,98393,98688,99412,99218,98902,99155,97663,98903,99333,99293,99314,99066,98598
30,98363,98379,98422,96968,98278,98454,98719,97138,98303,98361,98673,98205,98036,98684,98780,96406,96074,98781,98801,97683,98374,94333,97813,98507,98794,98684,98390,97350,99066,99098,99090,98209,98926,99179,99173,98864,99114,99139,99211,98928,99088,99271,99244,98347,98623,99412,99187,98867,99129,97509,98864,99281,99268,99292,99027,98534
31,98282,98306,98333,96853,98196,98362,98640,96812,98180,98274,98604,98096,97917,98623,98711,96098,95806,98641,98753,97541,98284,93733,97697,98402,98739,98614,98299,97213,99024,99061,99040,98139,98891,99145,99132,98822,99083,99104,99184,98896,99029,99248,99213,98287,98549,99385,99167,98826,99093,97334,98818,99267,99245,99265,98987,98468
32,98193,98231,98243,96726,98111,98282,98572,96505,98030,98189,98529,97993,97824,98557,98643,95854,95496,98641,98708,97395,98187,93115,97596,98295,98677,98550,98218,97069,98991,99040,99015,98082,98848,99110,99086,98779,99038,99069,99152,98849,98995,99222,99173,98196,98481,99331,99136,98784,99059,97154,98780,99254,99220,99247,98944,98403
33,98088,98166,98162,96574,98034,98178,98496,96196,97890,98087,98457,97886,97725,98495,98568,95585,95177,98562,98648,97242,98093,92488,97514,98200,98617,98483,98126,96926,98951,99000,98966,98027,98802,99072,99057,98726,99014,99031,99113,98805,98955,99197,99134,98112,98386,99196,99095,98737,99017,96968,98748,99247,99192,99217,98901,98331
34,97984,98084,98080,96411,97950,98062,98414,95977,97758,97987,98392,97774,97611,98435,98500,95268,94805,98536,98591,97080,97981,91829,97393,98158,98552,98420,98031,96783,98920,98962,98922,97947,98759,99012,99020,98704,98954,98985,99080,98759,98909,99168,99094,98021,98283,99143,99058,98691,98962,96776,98705,99214,99159,99184,98855,98252
35,97876,98008,97979,96230,97861,97950,98312,95692,97630,97881,98310,97635,97461,98368,98416,94914,94378,98457,98535,96901,97846,91170,97267,98016,98474,98356,97922,96630,98873,98930,98866,97851,98699,98966,98974,98651,98895,98927,99035,98696,98864,99135,99049,97914,98173,99143,99023,98640,98912,96578,98659,99187,99125,99148,98797,98170
36,97762,97934,97853,96040,97773,97850,98232,95470,97515,97758,98221,97507,97316,98294,98328,94557,93969,98351,98462,96690,97696,90487,97104,97911,98398,98255,97793,96470,98826,98899,98819,97782,98649,98910,98911,98533,98852,98871,98997,98619,98786,99095,99000,97830,98040,99117,98981,98575,98845,96357,98614,99152,99083,99118,98736,98086
37,97643,97850,97749,95850,97683,97724,98129,95201,97353,97626,98135,97332,97148,98220,98238,94186,93552,98145,98392,96497,97549,89814,96945,97793,98310,98175,97669,96304,98766,98837,98776,97682,98591,98850,98843,98448,98790,98817,98950,98540,98744,99059,98951,97704,97938,99091,98929,98506,98768,96138,98555,99083,99035,99070,98674,97993
38,97527,97740,97631,95601,97582,97576,98019,94907,97171,97484,98040,97128,97014,98138,98136,93792,93045,98023,98321,96264,97388,89141,96761,97686,98218,98101,97539,96129,98706,98799,98718,97579,98526,98791,98797,98334,98721,98754,98895,98446,98676,99019,98893,97534,97820,99091,98872,98445,98699,95910,98472,99013,98991,99031,98605,97890
